cases	file_name	project
TCGA-96-7545-01A-21D-2043-05	6285633079_R04C02_Grn.idat	TCGA-LUSC
TCGA-98-A539-01A-31D-A25R-05	8784241048_R01C02_Grn.idat	TCGA-LUSC
TCGA-34-5232-01A-21D-1818-05	6057825034_R05C01_Red.idat	TCGA-LUSC
TCGA-34-5236-01A-21D-1818-05	6057825034_R06C01_Grn.idat	TCGA-LUSC
TCGA-85-6560-01A-11D-1818-05	6057825048_R04C02_Red.idat	TCGA-LUSC
TCGA-56-7822-01A-11D-2123-05	6929742073_R02C01_Grn.idat	TCGA-LUSC
TCGA-22-5473-01A-01D-1633-05	6042308087_R04C02_Red.idat	TCGA-LUSC
TCGA-58-A46K-01A-11D-A24I-05	8784241036_R01C01_Red.idat	TCGA-LUSC
TCGA-77-8143-01A-11D-2245-05	6264488074_R06C01_Red.idat	TCGA-LUSC
TCGA-L3-A524-01A-11D-A25R-05	8784241130_R04C01_Red.idat	TCGA-LUSC
TCGA-77-7335-01A-11D-2043-05	6285633079_R06C02_Red.idat	TCGA-LUSC
TCGA-33-4583-11A-01D-1440-05	6055424076_R02C02_Red.idat	TCGA-LUSC
TCGA-18-3417-01A-01D-1440-05	6055424086_R02C01_Grn.idat	TCGA-LUSC
TCGA-92-7340-01A-21D-2043-05	6285633083_R03C01_Red.idat	TCGA-LUSC
TCGA-52-7812-01A-11D-2123-05	6929742070_R01C01_Grn.idat	TCGA-LUSC
TCGA-18-5592-01A-01D-1633-05	6042308120_R02C02_Red.idat	TCGA-LUSC
TCGA-56-8623-01A-11D-2398-05	8784225109_R02C01_Red.idat	TCGA-LUSC
TCGA-43-6647-01A-11D-1818-05	6057825101_R05C01_Grn.idat	TCGA-LUSC
TCGA-85-A4JB-01A-51D-A25R-05	8784241132_R02C01_Red.idat	TCGA-LUSC
TCGA-56-8309-01A-11D-2294-05	7796806154_R03C02_Red.idat	TCGA-LUSC
TCGA-77-8146-01A-11D-2245-05	6264488076_R01C01_Grn.idat	TCGA-LUSC
TCGA-96-A4JK-01A-11D-A258-05	8784241020_R04C01_Red.idat	TCGA-LUSC
TCGA-56-7580-01A-11D-2043-05	6285633079_R05C01_Grn.idat	TCGA-LUSC
TCGA-94-7033-01A-11D-1947-05	6264496025_R06C02_Grn.idat	TCGA-LUSC
TCGA-77-A5G1-01A-11D-A27L-05	9283265142_R03C01_Red.idat	TCGA-LUSC
TCGA-92-7341-01A-31D-2043-05	6285633083_R04C01_Grn.idat	TCGA-LUSC
TCGA-22-5491-01A-01D-1633-05	6042308120_R04C02_Red.idat	TCGA-LUSC
TCGA-L3-A4E7-01A-11D-A258-05	8784241020_R02C02_Grn.idat	TCGA-LUSC
TCGA-22-5478-01A-01D-1633-05	6042308099_R04C02_Red.idat	TCGA-LUSC
TCGA-63-A5MR-01A-31D-A27L-05	9283265144_R04C02_Red.idat	TCGA-LUSC
TCGA-43-8115-01A-11D-2245-05	6264488071_R02C02_Grn.idat	TCGA-LUSC
TCGA-77-A5G3-01A-31D-A27L-05	9283265142_R01C02_Grn.idat	TCGA-LUSC
TCGA-63-A5MV-01A-21D-A26N-05	9305216074_R05C02_Grn.idat	TCGA-LUSC
TCGA-6A-AB49-01A-12D-A408-05	3999492078_R06C02_Red.idat	TCGA-LUSC
TCGA-63-A5MW-01A-11D-A26N-05	9305216121_R02C02_Grn.idat	TCGA-LUSC
TCGA-58-A46N-01A-11D-A24I-05	8784241001_R02C02_Grn.idat	TCGA-LUSC
TCGA-85-8276-01A-11D-2294-05	6285633054_R02C01_Red.idat	TCGA-LUSC
TCGA-51-6867-01A-11D-2043-05	6285633083_R01C02_Red.idat	TCGA-LUSC
TCGA-77-8148-01A-11D-2245-05	6264488074_R01C02_Grn.idat	TCGA-LUSC
TCGA-90-7769-01A-11D-2123-05	6929742073_R01C01_Red.idat	TCGA-LUSC
TCGA-39-5034-11A-01D-1440-05	6055424086_R05C01_Red.idat	TCGA-LUSC
TCGA-56-6545-01A-11D-1818-05	6057825048_R06C02_Red.idat	TCGA-LUSC
TCGA-56-8625-01A-11D-2398-05	8784225054_R01C02_Grn.idat	TCGA-LUSC
TCGA-98-A53J-01A-11D-A26N-05	9305216121_R05C02_Grn.idat	TCGA-LUSC
TCGA-92-8063-01A-11D-2245-05	6264488074_R02C02_Red.idat	TCGA-LUSC
TCGA-63-A5MH-01A-12D-A27L-05	9283265142_R02C01_Grn.idat	TCGA-LUSC
TCGA-O2-A52W-01A-11D-A26N-05	9305216126_R05C02_Red.idat	TCGA-LUSC
TCGA-56-7579-01A-11D-2043-05	6285633073_R05C02_Red.idat	TCGA-LUSC
TCGA-77-A5G7-01B-11D-A27L-05	9283265144_R03C01_Grn.idat	TCGA-LUSC
TCGA-77-6844-01A-11D-1947-05	6264496025_R03C02_Grn.idat	TCGA-LUSC
TCGA-39-5028-11A-01D-1440-05	6055424076_R01C01_Red.idat	TCGA-LUSC
TCGA-22-5480-11A-01D-1633-05	6042308087_R03C01_Red.idat	TCGA-LUSC
